requests,errors,total_latency_ms
120,2,3600
122,2,3650
125,2,3720
128,2,3800
130,3,3900
132,3,3950
135,3,4000
138,3,4100
140,3,4200
142,3,4300
145,3,4400
148,3,4500
150,4,4700
152,4,4800
155,4,4900
158,4,5000
160,4,5100
162,4,5200
165,5,5400
168,5,5600
170,5,5800
172,5,5900
175,6,6100
178,6,6300
180,6,6500
182,7,6800
185,7,7000
188,8,7300
190,8,7600
195,9,8000
200,10,8500
205,11,9000
210,12,9600
205,10,9000
200,9,8500
195,8,8000
190,7,7600
185,6,7200
180,5,6800
175,5,6500
170,4,6200
168,4,6000
165,4,5800
160,3,5500
155,3,5200
150,3,5000
148,3,4800
145,3,4600
142,2,4400
140,2,4200
138,2,4050
135,2,3900
132,2,3800
130,2,3700
128,2,3650
125,2,3600
122,2,3550
120,2,3500
118,2,3450
115,1,3400
